,actor,url
0,54bb47h / Sabbath,http://54bb47h5qu4k7l4d7v5ix3i6ak6elysn3net4by4ihmvrhu7cvbskoqd.onion/
1,54bb47h / Sabbath,http://54bb47h.blog/
2,AlphVM,http://alphvmmm27o3abo3r2mlmjrpdmzle3rykajqc5xsj7j7ejksbpsa36ad.onion/
3,Arcane,http://thearcane.top/
4,Arvin Club,http://3kp6j22pz3zkv76yutctosa6djpj4yib2icvdqxucdaxxedumhqicpad.onion/
5,AstroLocker,http://anewset3pcya3xvk73hj7yunuamutxxsm5sohkdi32blhmql55tvgqad.onion/
6,Atomsilo,http://l5cjga2ksw6rxumu5l4xxn3cmahhi2irkbwg3amx6ajroyfmfgpfllid.onion/
7,Atomsilo,http://mhdehvkomeabau7gsetnsrhkfign4jgnx3wajth5yb5h6kvzbd72wlqd.onion/
8,Avaddon,http://avaddonbotrxmuyl.onion/
9,Avaddon,http://avaddongun7rngel.onion/
10,AvosLocker,http://avosqxh72b5ia23dl5fgwcpndkctuzqvh2iefk5imp3pi5gfhel5klad.onion/
11,AvosLocker,http://avos2fuj6olp6x36.onion/
12,AvosLocker,http://avos53nnmi4u6amh.onion/
13,AvosLocker,http://avosjon4pfh3y7ew3jdwz6ofw7lljcxlbk7hcxxmnxlh5kvf2akcqjad.onion/
14,BABUK,http://wavbeudogz6byhnardd2lkp2jafims3j7tj6k6qnywchn2csngvtffqd.onion/
15,BABUK 2.0,http://nq4zyac4ukl4tykmidbzgdlvaboqeqsemkp4t35bzvjeve6zm2lqcjid.onion/
16,BlackBasta,https://stniiomyjliimcgkvdszvgen3eaaoz55hreqqx6o77yvmpwt7gklffqd.onion/
17,BlackByte,http://ce6roic2ykdjunyzazsxmjpz5wsar4pflpoqzntyww5c2eskcp7dq4yd.onion/
18,BlackByte,http://uivmwdido2hrsv2wkjym2ankstvejptbm5gkzijlcbjchmgunx52weid.onion/
19,BlackByte,http://f5uzduboq4fa2xkjloprmctk7ve3dm46ff7aniis66cbekakvksxgeqd.onion/
20,BlackByte,http://fl3xpz5bmgzxy4fmebhgsbycgnz24uosp3u4g33oiln627qq3gyw37ad.onion/
21,BlackMatter,http://blackmax7su6mbwtcyo3xwtpfxpm356jjqrs34y4crcytpw7mifuedyd.onion/
22,Blacktor,http://bl4cktorpms2gybrcyt52aakcxt6yn37byb65uama5cimhifcscnqkid.onion/
23,BlogXX,http://blogxxu75w63ujqarv476otld7cyjkq4yoswzt4ijadkjwvg3vrvd5yd.onion/Blog/
24,Bonaci Group,http://bonacifryrxr4siz6ptvokuihdzmjzpveruklxumflz5thmkgauty2qd.onion/
25,Cheers!,http://crkfkmrh4qzbddfrl2axnkvjp5tgwx73d7lq4oycsfxc7pfgbfhtfiid.onion/
26,Cheers!,http://rwiajgajdr4kzlnrj5zwebbukpcbrjhupjmk6gufxv6tg7myx34iocad.onion/
27,CL0P,http://ekbgzchl6x2ias37.onion/
28,CL0P,http://geqwmtbpciqqhs7nsw5crgwtqw7mncatrz65bkrpcfpwtv424uszsbid.onion/
29,CL0P,http://santat7kpllt6iyvqbr7q4amdv6dzrh6paatvyrzl7ry3zm72zigf4ad.onion/
30,Colossus,http://colossus.support/
31,Conti,http://htcltkjqoitnez5slo7fvhiou5lbno5bwczu7il2hmfpkowwdpj3q2yd.onion/
32,Conti,http://conti.news/
33,Conti,http://continewsnv5otx5kaoje7krkto2qbu3gtqef22mnr7eaxw3y6ncz3ad.onion/
34,Conti,https://continews.bz
35,CoomingProject,http://teo7aj5mfgzxyeme.onion/
36,CoomingProject,http://coomingproject.com/
37,CoomingProject,http://z6mikrtphid5fmn52nbcbg25tj57sowlm3oc25g563yvsfmygkcxqbyd.onion/
38,Crimson Walrus,http://ncpbxzcgdeprrbba7dgodmymdewy57yokkebuwhmuywiuz5kqjwepbad.onion/
39,CUBA,http://cuba4ikm4jakjgmkezytyawtdgr2xymvy6nvzgw5cglswg3si76icnqd.onion/
40,CUBA,http://cuba4mp6ximo2zlo.onion/
41,DarkRypt,http://185.158.114.79/
42,DarkRypt,http://darkrypt.io/
43,DarkSide,http://darksidedxcftmqa.onion/
44,Darkside,http://darksidc3iux462n6yunevoag52ntvwp6wulaz3zirkmh4cnz6hhj7id.onion/
45,Defray777,http://rnsm777cdsjrsdlbs4v5qoeppu3px6sb2igmh53jzrx7ipcrbjz5b2ad.onion/
46,DoppelPaymer,http://hpoo4dosa3x4ognfxpqcrjwnsigvslm7kv6hvmhh2yqczaxy3j6qnwad.onion/
47,Egregor,http://egregoranrmzapcv.onion/
48,Egregor,https://egregorwiki.top/
49,Egregor,https://egregor.top/
