,actor,url
1,[marketo](https://ransomwatch.telemetry.ltd/#/profiles?id=marketo) ,marketojbwagqnwx.onion 
2,[marketo](https://ransomwatch.telemetry.ltd/#/profiles?id=marketo) ,g5sbltooh2okkcb2.onion 
3,[marketo](https://ransomwatch.telemetry.ltd/#/profiles?id=marketo) ,fvki3hj7uxuirxpeop6chgqoczanmebutznt2mkzy6waov6w456vjuid.onion 
4,[marketo](https://ransomwatch.telemetry.ltd/#/profiles?id=marketo) ,jvdamsif53dqjycuozlaye2s47p7xij4x6hzwzwhzrqmv36gkyzohhqd.onion 
5,[synack](https://ransomwatch.telemetry.ltd/#/profiles?id=synack) ,xqkz2rmrqkeqf6sjbrb47jfwnqxcd4o2zvaxxzrpbh2piknms37rw2ad.onion 
6,[suncrypt](https://ransomwatch.telemetry.ltd/#/profiles?id=suncrypt) ,x2miyuiwpib2imjr5ykyjngdu7v6vprkkhjltrk4qafymtawey4qzwid.onion 
7,[suncrypt](https://ransomwatch.telemetry.ltd/#/profiles?id=suncrypt) ,nbzzb6sa6xuura2z.onion 
8,[lv](https://ransomwatch.telemetry.ltd/#/profiles?id=lv) ,rbvuetuneohce3ouxjlbxtimyyxokb4btncxjbo44fbgxqy7tskinwad.onion 
9,[lv](https://ransomwatch.telemetry.ltd/#/profiles?id=lv) ,4qbxi3i2oqmyzxsjg4fwe4aly3xkped52gq5orp6efpkeskvchqe27id.onion 
10,[lorenz](https://ransomwatch.telemetry.ltd/#/profiles?id=lorenz) ,lorenzmlwpzgxq736jzseuterytjueszsvznuibanxomlpkyxk6ksoyd.onion 
11,[lockbit2](https://ransomwatch.telemetry.ltd/#/profiles?id=lockbit2) ,zqaflhty5hyziovsxgqvj2mrz5e5rs6oqxzb54zolccfnvtn5w2johad.onion 
12,[lockbit2](https://ransomwatch.telemetry.ltd/#/profiles?id=lockbit2) ,yq43odyrmzqvyezdindg2tokgogf3pn6bcdtvgczpz5a74tdxjbtk2yd.onion 
13,[lockbit2](https://ransomwatch.telemetry.ltd/#/profiles?id=lockbit2) ,oyarbnujct53bizjguvolxou3rmuda2vr72osyexngbdkhqebwrzsnad.onion 
14,[lockbit2](https://ransomwatch.telemetry.ltd/#/profiles?id=lockbit2) ,lockbitaptstzf3er2lz6ku3xuifafq2yh5lmiqj5ncur6rtlmkteiqd.onion 
15,[lockbit2](https://ransomwatch.telemetry.ltd/#/profiles?id=lockbit2) ,lockbitaptq7ephv2oigdncfhtwhpqgwmqojnxqdyhprxxfpcllqdxad.onion 
16,[hiveleak](https://ransomwatch.telemetry.ltd/#/profiles?id=hiveleak) ,hiveleakdbtnp76ulyhi52eag6c6tyc3xw7ez7iqy6wc34gd2nekazyd.onion 
17,[hiveleak](https://ransomwatch.telemetry.ltd/#/profiles?id=hiveleak) ,hivecust6vhekztbqgdnkks64ucehqacge3dij3gyrrpdp57zoq3ooqd.onion 
